circuit,num_qubits,depth,size,two_qubit_ops,ops
Penalty QAOA example,5,10,25,10,"{'rzz': 10, 'h': 5, 'rz': 5, 'rx': 5, 'barrier': 3}"
Dicke + Grover example,5,240,307,131,"{'cx': 120, 'ry': 54, 'ccx': 30, 't': 24, 'x': 19, 'rz': 18, 'tdg': 18, 'h': 12, 'rzz': 11, 'barrier': 4, 'p': 1}"
