AAPL,JPM,KO,MSFT,NVDA
200.56431579589844,255.6972198486328,69.1358413696289,452.2329406738281,132.7987060546875
194.49838256835938,255.73643493652344,69.74809265136719,447.5799865722656,131.25906372070312
199.41885375976562,260.22906494140625,69.7578125,458.02923583984375,135.4680633544922
199.62803649902344,258.46337890625,69.14556121826172,454.718505859375,134.7782440185547
199.15988159179688,259.3266296386719,69.47599029541016,456.0308837890625,139.15721130371094
200.05633544921875,258.96368408203125,70.06879425048828,457.7011413574219,135.09817504882812
200.90298461914062,259.611083984375,69.97160339355469,459.3018798828125,137.34764099121094
202.46676635742188,261.19036865234375,69.15528106689453,460.2961120605469,141.1867218017578
202.01856994628906,259.17950439453125,69.35936737060547,461.1908874511719,141.88656616210938
199.8372039794922,256.9527587890625,68.91232299804688,464.9788818359375,139.95701599121094
203.11419677734375,260.66070556640625,69.33992767333984,467.6632995605469,141.6865997314453
200.65394592285156,261.6513977050781,69.74809265136719,470.0196228027344,142.59640502929688
201.869140625,263.4759216308594,70.31175231933594,468.2001953125,143.92608642578125
197.9945068359375,263.03448486328125,70.03964233398438,469.8903503417969,142.80625915527344
198.412841796875,263.1227722167969,70.2048568725586,476.104248046875,144.9759063720703
195.6737060546875,259.89556884765625,69.50994110107422,472.2168273925781,141.94639587402344
197.63592529296875,265.20233154296875,69.02057647705078,476.3727111816406,144.66595458984375
194.86691284179688,264.3783264160156,68.13971710205078,475.279052734375,144.09603881835938
195.80320739746094,268.7336730957031,67.73843383789062,477.4663391113281,145.455810546875
200.20574951171875,269.7538146972656,67.37629699707031,474.64276123046875,143.8260955810547
200.70376586914062,272.96142578125,68.25715637207031,483.19305419921875,144.1460418701172
199.50851440429688,275.8944091796875,68.71717834472656,487.2793273925781,147.87539672851562
200.76351928710938,278.6409912109375,68.14949798583984,489.4268493652344,154.28436279296875
200.20574951171875,283.24151611328125,67.99291229248047,494.57696533203125,154.99423217773438
200.28543090820312,281.6327819824219,68.83462524414062,493.07568359375,157.72378540039062
204.35926818847656,284.37939453125,69.24568939208984,494.5372009277344,157.96376037597656
206.998779296875,284.8698425292969,70.14612579345703,489.2081298828125,153.2745361328125
211.6005401611328,286.42950439453125,69.40229034423828,488.2536926269531,157.22386169433594
212.70616149902344,291.75201416015625,69.83293151855469,495.9589538574219,159.3135223388672
209.12037658691406,287.7798767089844,69.50016021728516,494.84539794921875,158.21371459960938
209.1801300048828,278.7217712402344,68.74652862548828,493.7517395019531,159.97340393066406
210.3056640625,279.0963134765625,68.00270080566406,500.6019592285156,162.85293579101562
211.5706787109375,284.0540771484375,68.28652954101562,498.58367919921875,164.07273864746094
210.32559204101562,282.7431640625,68.38440704345703,500.4130554199219,164.89259338378906
207.79563903808594,284.5567932128906,67.99291229248047,500.1147766113281,164.04273986816406
208.28370666503906,282.4376220703125,67.88525390625,502.89862060546875,170.671630859375
209.3295440673828,281.7181396484375,67.79715728759766,502.6997375488281,171.34152221679688
209.1901092529297,285.73956298828125,69.0890884399414,508.7446594238281,172.97125244140625
210.34552001953125,287.0898742675781,68.36482238769531,507.10418701171875,172.38134765625
211.64036560058594,286.794189453125,68.58014678955078,507.1141052246094,171.35153198242188
213.5527801513672,287.2475891113281,68.17887115478516,502.3517761230469,167.00225830078125
213.3037872314453,292.5011291503906,67.68950653076172,502.9483337402344,170.75161743164062
212.91531372070312,292.29412841796875,67.63077545166016,507.92938232421875,173.7111358642578
213.0348663330078,294.33441162109375,67.69928741455078,510.74310302734375,173.47117614746094
213.2041778564453,293.9992980957031,66.64225006103516,509.5400390625,176.7206268310547
210.43515014648438,292.777099609375,67.90482330322266,509.6096496582031,175.48081970214844
208.2239227294922,295.3299560546875,67.28822326660156,510.2757568359375,179.24021911621094
206.7498016357422,291.98858642578125,66.44650268554688,530.4187622070312,177.84043884277344
201.58029174804688,285.2171630859375,67.39588165283203,521.0830078125,173.69113159179688
202.5464630126953,290.0370178222656,67.4937515258789,532.54638671875,179.9700927734375
202.11813354492188,287.1884765625,67.58184051513672,524.701904296875,178.23037719726562
212.40733337402344,287.16876220703125,68.03205871582031,521.908203125,179.3901824951172
219.16055297851562,282.8220520019531,68.93250274658203,517.8319091796875,180.73997497558594
228.44374084472656,284.61590576171875,68.84440612792969,519.0249633789062,182.66964721679688
226.53909301757812,285.4044494628906,69.24568939208984,518.7565307617188,182.0297393798828
229.0021209716797,288.6472473144531,69.20654296875,526.183349609375,183.1295623779297
232.6717529296875,286.36053466796875,68.96185302734375,517.5734252929688,181.55982971191406
232.12330627441406,289.9384460449219,68.07120513916016,519.4623413085938,181.98974609375
230.93667602539062,286.3210754394531,68.43334197998047,517.1657104492188,180.42001342773438
230.23863220214844,287.3461608886719,67.6601333618164,514.1134033203125,181.979736328125
229.90957641601562,286.4886779785156,68.63887023925781,506.8258056640625,175.61080932617188
225.3723907470703,288.04595947265625,69.1967544555664,502.7991943359375,175.370849609375
224.26551818847656,287.28704833984375,69.15760803222656,502.15185546875,174.95091247558594
227.11746215820312,291.98858642578125,68.63887023925781,505.1295166015625,177.96043395996094
226.5191650390625,290.6678161621094,67.46439361572266,502.17181396484375,179.78012084960938
228.6630859375,294.2851257324219,67.26864624023438,499.96099853515625,181.7397918701172
229.8397674560547,294.9849548339844,67.36651611328125,504.6415100097656,181.56983947753906
231.90391540527344,296.749267578125,66.90650939941406,507.5295104980469,180.1400604248047
231.485107421875,297.09423828125,67.52310943603516,504.59173583984375,174.1510467529297
229.07192993164062,295.3989562988281,67.59162139892578,503.0282287597656,170.75161743164062
237.7972412109375,295.211669921875,67.52310943603516,503.2572937011719,170.59165954589844
239.10354614257812,299.4598083496094,66.7988510131836,505.866455078125,171.63148498535156
239.01380920410156,290.1553039550781,66.5150146484375,492.9501647949219,166.9922637939453
237.20892333984375,288.7063903808594,65.99628448486328,496.13690185546875,168.2820281982422
233.6888885498047,293.57550048828125,66.41714477539062,496.3460388183594,170.7316131591797
226.1501922607422,296.22686767578125,66.37799072265625,498.29791259765625,177.300537109375
229.3810577392578,301.1748046875,66.18224334716797,498.9352722167969,177.1505584716797
233.40966796875,302.5054626464844,65.58521270751953,507.7884521484375,177.80047607421875
236.03224182128906,304.4668884277344,65.29920196533203,513.225830078125,177.73049926757812
237.4781494140625,304.75274658203125,65.32878875732422,506.9320068359375,174.86080932617188
238.3157958984375,307.2759704589844,66.11778259277344,507.9079284667969,170.27130126953125
237.20892333984375,308.7347717285156,65.54576110839844,506.3444519042969,176.2206573486328
244.80740356445312,310.26251220703125,65.51617431640625,515.78515625,176.6505889892578
255.35755920410156,307.9560852050781,65.29920196533203,512.319580078125,183.58984375
253.7122344970703,308.25177001953125,65.79232788085938,507.1212463378906,178.410400390625
251.59820556640625,308.92205810546875,65.53589630126953,508.0373840332031,176.9505615234375
256.1453552246094,308.95159912109375,65.07237243652344,504.9303283691406,177.67050170898438
254.73931884765625,311.52410888671875,64.7666244506836,509.34197998046875,178.17044067382812
253.7122344970703,311.1594543457031,65.13153839111328,512.4689331054688,181.83004760742188
253.9116668701172,310.9031677246094,65.40768432617188,515.8051147460938,186.55950927734375
254.72933959960938,306.25091552734375,65.86136627197266,517.557861328125,187.21945190429688
256.40460205078125,303.1362609863281,65.19071197509766,513.604248046875,188.8692626953125
257.2920837402344,305.5806579589844,65.73314666748047,515.20751953125,187.5994110107422
255.96585083007812,306.22442626953125,65.19071197509766,526.3811645507812,185.51962280273438
255.7564697265625,304.74871826171875,65.87122344970703,521.8101196289062,185.01968383789062
257.33197021484375,301.1236572265625,65.21044158935547,522.676513671875,189.0892333984375
253.32330322265625,302.6093444824219,65.45700073242188,520.2366943359375,192.54885864257812
244.57806396484375,298.0137023925781,66.11778259277344,508.84405517578125,183.139892578125
246.96131896972656,305.0260314941406,65.88108825683594,511.9212341308594,188.29933166503906
247.07101440429688,299.19232177734375,66.5813217163086,511.4432373046875,180.01022338867188
248.63658142089844,302.767822265625,66.15723419189453,511.3038024902344,179.8102569580078
246.75192260742188,295.6861572265625,66.66021728515625,509.4913330078125,181.7900390625
251.57826232910156,294.7155456542969,67.49852752685547,511.4532470703125,183.19989013671875
261.5001525878906,299.4696350097656,67.49852752685547,514.6498413085938,182.6199493408203
262.0286865234375,294.25,70.24028015136719,515.5162963867188,181.14010620117188
257.72088623046875,291.29852294921875,69.8359146118164,518.3843994140625,180.2602081298828
258.84771728515625,291.72442626953125,68.97789764404297,518.404296875,182.13999938964844
262.07855224609375,297.5679931640625,68.75105285644531,521.441650390625,186.23953247070312
268.0516357421875,301.2425231933594,69.09623718261719,529.3189697265625,191.46897888183594
268.2410888671875,302.44097900390625,69.19486999511719,539.8252563476562,201.0079345703125
268.93914794921875,302.5895690917969,67.40975952148438,539.307373046875,207.01727294921875
270.63433837890625,306.4819641113281,68.03109741210938,523.582763671875,202.8677215576172
269.60723876953125,308.1459045410156,67.95219421386719,515.6656494140625,202.4677734375
268.2909851074219,306.3928527832031,67.03499603271484,514.888916015625,206.85728454589844
269.2781982421875,306.2937927246094,67.71550750732422,512.2001342773438,198.66818237304688
269.3778991699219,308.7005615234375,67.56756591796875,505.0597839355469,195.18858337402344
269.0089416503906,310.4239501953125,68.10999298095703,495.04144287109375,188.05935668945312
267.7126159667969,311.20635986328125,69.57950592041016,494.7626037597656,188.1293487548828
