AAPL,AMZN,GOOGL,JPM,KO,META,MSFT,NVDA
123.89097595214844,162.24949645996094,117.08430480957031,144.1282958984375,47.21485137939453,322.102294921875,241.1940155029297,15.572750091552734
123.69600677490234,162.95249938964844,117.17504119873047,142.63890075683594,47.206233978271484,325.2376708984375,242.09805297851562,15.608407974243164
123.64727020263672,163.25799560546875,118.03990936279297,142.62124633789062,47.41301345825195,325.1087341308594,241.87689208984375,15.660528182983398
122.11690521240234,161.5054931640625,117.16564178466797,144.84214782714844,47.80933380126953,330.1590576171875,239.78021240234375,15.44906234741211
121.46383666992188,161.15350341796875,116.87652587890625,144.74517822265625,47.637027740478516,326.17041015625,240.1360626220703,16.203659057617188
121.14215850830078,160.9324951171875,118.08303833007812,146.34034729003906,47.628395080566406,326.56732177734375,237.94320678710938,16.223608016967773
121.9024658203125,161.69949340820312,117.55789184570312,146.34918212890625,47.817962646484375,326.5870361328125,237.84707641601562,16.736068725585938
120.42086791992188,159.35049438476562,116.41680908203125,146.44610595703125,47.93857192993164,323.5013122558594,236.31784057617188,16.927085876464844
122.7115249633789,160.31100463867188,118.69745635986328,146.68408203125,48.455528259277344,327.7778015136719,241.20359802246094,17.534061431884766
122.72126007080078,159.90049743652344,119.13038635253906,145.9966278076172,48.28321075439453,333.959228515625,244.1082000732422,17.5747013092041
123.54004669189453,163.20550537109375,118.93898010253906,145.41500854492188,47.947200775146484,331.08184814453125,242.9156036376953,17.413108825683594
123.9201889038086,164.0574951171875,119.41007232666016,143.59950256347656,47.800716400146484,327.67852783203125,243.8966064453125,17.31857681274414
122.92594909667969,167.4824981689453,120.75843048095703,141.36099243164062,48.17120361328125,329.8713073730469,247.40708923339844,17.385173797607422
124.1346435546875,167.3415069580078,120.51396942138672,141.2640838623047,48.3865966796875,328.6806945800781,248.03228759765625,17.784515380859375
127.18561553955078,169.19349670410156,121.44178771972656,138.86691284179688,48.221675872802734,334.1477355957031,249.95578002929688,17.977567672729492
126.36685943603516,169.156494140625,120.4241943359375,136.76060485839844,48.100135803222656,334.1279602050781,248.4842529296875,17.74784278869629
126.8639907836914,170.7624969482422,119.7824935913086,137.7212371826172,47.457759857177734,328.5020446777344,247.5417022705078,17.769542694091797
128.46255493164062,174.46200561523438,120.74554443359375,133.74655151367188,47.700828552246094,333.8897705078125,250.92721557617188,18.614606857299805
127.16613006591797,174.34500122070312,119.12641906738281,130.36233520507812,46.676483154296875,327.0931701660156,249.51336669921875,18.596155166625977
128.95965576171875,172.697998046875,120.81398010253906,132.5743865966797,47.18865203857422,329.7026672363281,252.59109497070312,18.385133743286133
130.5972442626953,175.27200317382812,121.32772827148438,132.38052368164062,47.36227035522461,336.39019775390625,255.36094665527344,18.843585968017578
130.32431030273438,175.1909942626953,121.12589263916016,133.18251037597656,46.980316162109375,337.93798828125,255.1301727294922,19.01369285583496
130.0416259765625,172.45399475097656,121.49584197998047,134.40750122070312,47.214691162109375,340.5078430175781,256.495849609375,19.16160011291504
129.74925231933594,170.072998046875,121.50426483154297,135.76473999023438,47.15393829345703,338.7119445800781,254.8896942138672,18.987506866455078
131.37705993652344,172.1945037841797,121.53153991699219,136.01148986816406,47.10184860229492,352.8708190917969,258.4482421875,19.939329147338867
132.88792419433594,172.40699768066406,121.27020263671875,135.8440704345703,46.75461196899414,349.1500549316406,261.02581787109375,19.980981826782227
133.50205993652344,172.00799560546875,121.08870697021484,137.07789611816406,46.971641540527344,345.00262451171875,260.54486083984375,19.9567813873291
133.80418395996094,171.64849853515625,121.4407958984375,138.43505859375,46.8414192199707,351.6305847167969,261.2181701660156,20.165809631347656
136.42630004882812,175.5489959716797,124.23074340820312,138.30210876464844,47.03239440917969,351.9382019042969,267.0369567871094,20.440181732177734
138.4342803955078,183.78700256347656,125.15558624267578,135.9797821044922,46.77197265625,350.0331726074219,267.0464782714844,20.65119171142578
140.91989135742188,184.82899475097656,125.437255859375,136.1393280029297,47.15393829345703,347.76092529296875,269.22967529296875,20.325191497802734
139.62347412109375,186.57049560546875,124.01898956298828,133.79042053222656,46.98899459838867,342.9586181640625,266.815673828125,19.857261657714844
141.44627380371094,185.9669952392578,124.48960876464844,138.0716552734375,47.27545928955078,347.6915283203125,267.31585693359375,20.004425048828125
140.85166931152344,185.92750549316406,125.93465423583984,140.0482635498047,47.29281997680664,350.41021728515625,266.71954345703125,20.465620040893555
141.9628448486328,183.8679962158203,126.29763793945312,137.9652862548828,47.761592864990234,349.34844970703125,270.2396545410156,20.20371437072754
145.38424682617188,184.08399963378906,127.18580627441406,137.49549865722656,48.83799743652344,344.9232177734375,271.71112060546875,19.796154022216797
144.73118591308594,181.55999755859375,125.96391296386719,137.796875,48.994258880615234,341.77789306640625,270.2877502441406,18.922903060913086
142.69390869140625,178.68150329589844,125.92919921875,134.65023803710938,48.95952606201172,338.50360107421875,270.0184631347656,18.119495391845703
