method,n,k,p,mean_P_optimal,std_P_optimal,mean_P_feasible,mean_P_near_optimal_5pct,mean_normalized_gap,num_instances
QWOA Johnson,6,4,1,0.33321245734141774,0.04292879096203527,1.0,0.5156415989313323,0.10774645394260579,4
QWOA weighted Johnson cost alpha=0.25,6,3,1,0.32690459856549964,0.051371796364336406,1.0,0.5286127439327939,0.09462916689491968,4
QWOA Johnson,6,3,1,0.3242796840776778,0.059745568951919716,1.0,0.5198888347451426,0.09639996132809758,4
QWOA weighted Johnson cost alpha=0.5,6,3,1,0.3110344285640615,0.03522319571124001,1.0,0.5111898457941146,0.10427007435259128,4
QWOA weighted Johnson cost alpha=1.0,6,4,1,0.2996069769052868,0.038914465251218625,1.0,0.5037848650282519,0.12275982265601917,4
QWOA weighted Johnson cost alpha=1.0,6,3,1,0.23709064463790722,0.015270334293530334,1.0,0.41331326403051216,0.16131177486807208,4
QWOA complete / Grover-equivalent,6,2,1,0.23517337920875364,0.036859600381210486,1.0,0.23517337920875364,0.28466292095402884,4
QWOA weighted Johnson cost alpha=1.0,6,2,1,0.23246869316566715,0.05895432189105545,1.0,0.23246869316566715,0.29012715270418976,4
QWOA weighted Johnson cost alpha=2.0,6,4,1,0.2104560404665351,0.06590730896330473,1.0,0.4002681943500146,0.21376225168480711,4
QWOA complete / Grover-equivalent,6,4,1,0.1965154285553955,0.010416740331410398,1.0,0.32943993929393106,0.20260910914882668,4
QWOA complete / Grover-equivalent,6,3,1,0.15779980355766204,0.012909316279761959,1.0,0.2682729365259071,0.23328247986085027,4
Penalty QAOA transverse mixer,6,2,1,0.14269194977118851,0.07524244839043376,0.37876160689950006,0.14269194977118851,0.28243064355011,4
QWOA weighted Johnson cost alpha=2.0,6,3,1,0.12712916404627644,0.04192508500111117,1.0,0.2430721700243505,0.30098492054886283,4
QWOA weighted Johnson cost alpha=2.0,6,2,1,0.10533098739630657,0.03679793924961881,1.0,0.10533098739630657,0.4143365436198669,4
Penalty QAOA transverse mixer,6,3,1,0.059232066713577454,0.028994015080390772,0.4267472918937093,0.11757342831994855,0.2888109582798384,4
Penalty QAOA transverse mixer,6,4,1,0.05856760199249195,0.015144044807365984,0.33592084986310744,0.09989095917519153,0.2528528609968315,4
QWOA Johnson,6,2,2,0.7108889856007821,0.2284160285694013,1.0,0.7108889856007821,0.07698829324227092,4
QWOA weighted Johnson cost alpha=0.25,6,2,2,0.6887278782060481,0.21744888607218457,1.0,0.6887278782060481,0.09343562867522488,4
QWOA weighted Johnson cost alpha=0.5,6,2,2,0.5981758898955584,0.2074502288186514,1.0,0.5981758898955584,0.1358018790793345,4
QWOA complete / Grover-equivalent,6,2,2,0.3954064108167955,0.10033946535364671,1.0,0.3954064108167955,0.1998425370459963,4
QWOA weighted Johnson cost alpha=1.0,6,4,2,0.39418004234737997,0.04349881670554322,1.0,0.6202156834932623,0.07034446906882813,4
QWOA weighted Johnson cost alpha=0.25,6,4,2,0.3931969436092659,0.06738706997044168,1.0,0.6041510041391684,0.07142906672492115,4
QWOA weighted Johnson cost alpha=0.5,6,4,2,0.39170773522838986,0.06181264381506762,1.0,0.6029568513025009,0.06845785627507739,4
QWOA Johnson,6,3,2,0.38154946301983644,0.08463572940270522,1.0,0.5939819031652972,0.06201416085590432,4
QWOA Johnson,6,4,2,0.381458721392237,0.08474838572040352,1.0,0.5810756876145987,0.07914683651377269,4
QWOA weighted Johnson cost alpha=0.5,6,3,2,0.3755160517012104,0.08180070680253101,1.0,0.5890728315632898,0.06596236678918156,4
QWOA weighted Johnson cost alpha=0.25,6,3,2,0.37112281124688506,0.07351070362899954,1.0,0.5843620004627933,0.06325823888829062,4
QWOA weighted Johnson cost alpha=1.0,6,3,2,0.35696873201968915,0.10430210406921368,1.0,0.5620445148005502,0.07809448148572806,4
QWOA weighted Johnson cost alpha=1.0,6,2,2,0.3433450415361797,0.09638075992745271,1.0,0.3433450415361797,0.23580891135699536,4
Penalty QAOA transverse mixer,6,2,2,0.33195558715610474,0.21164599827932826,0.4876560453402706,0.33195558715610474,0.13109252862566162,4
QWOA weighted Johnson cost alpha=2.0,6,4,2,0.2906427314509479,0.06839192202727805,1.0,0.4897247518312815,0.12701293130459793,4
QWOA complete / Grover-equivalent,6,4,2,0.2798741173403239,0.057797996529927974,1.0,0.440839266819473,0.13021887140260946,4
QWOA complete / Grover-equivalent,6,3,2,0.25235843818336867,0.02277204169465573,1.0,0.42266710895182086,0.1290289594383871,4
QWOA weighted Johnson cost alpha=2.0,6,3,2,0.25134930519957976,0.11629569983397267,1.0,0.4279215864303434,0.21781883725453066,4
QWOA weighted Johnson cost alpha=2.0,6,2,2,0.21571867826133054,0.13526885578250877,1.0,0.21571867826133054,0.3175629844937742,4
Penalty QAOA transverse mixer,6,4,2,0.10699890681871678,0.03459231428126537,0.5594128749952183,0.1829139632844755,0.23279033250446732,4
Penalty QAOA transverse mixer,6,3,2,0.10418074606559691,0.037428737908225145,0.47926556106940865,0.18388899497351957,0.17220192126949713,4
QWOA weighted Johnson cost alpha=0.25,6,2,3,0.6673007579346858,0.21476157709506466,1.0,0.6673007579346858,0.0987793770248591,4
QWOA weighted Johnson cost alpha=0.5,6,2,3,0.6482680820207718,0.21177101696165798,1.0,0.6482680820207718,0.11407022839858585,4
QWOA Johnson,6,2,3,0.6022301355172285,0.229455695040928,1.0,0.6022301355172285,0.11862655951365565,4
QWOA complete / Grover-equivalent,6,2,3,0.4592517848733356,0.12289950252000953,1.0,0.4592517848733356,0.16028190867882147,4
QWOA weighted Johnson cost alpha=1.0,6,2,3,0.45269853185163944,0.18357576137208215,1.0,0.45269853185163944,0.1935172718921701,4
Penalty QAOA transverse mixer,6,2,3,0.4043136815121895,0.18026811064376425,0.5286609421341577,0.4043136815121895,0.07883540444369343,4
QWOA weighted Johnson cost alpha=0.25,6,3,3,0.4038714905692147,0.11172494356221048,1.0,0.6173118346519345,0.05437264775015359,4
