instance,window_id,start,end,n,k,method,alpha,graph_edges,graph_mean_degree,graph_min_degree,graph_max_degree,graph_spectral_gap_top
6,W1,2025-02-24,2026-05-21,7,4,QWOA weighted Johnson cost alpha=1.0,1.0,210,12.0,12.0,12.0,0.3005582610471761
6,W1,2025-02-24,2026-05-21,7,4,QWOA weighted Johnson cost alpha=2.0,2.0,210,12.0,12.0,12.0,0.1272822330287151
7,W1,2025-02-24,2026-05-21,8,3,QWOA complete / Grover-equivalent,,1540,55.0,55.0,55.0,1.018181818181817
7,W1,2025-02-24,2026-05-21,8,3,QWOA Johnson,,420,15.0,15.0,15.0,0.5333333333333323
7,W1,2025-02-24,2026-05-21,8,3,QWOA weighted Johnson cost alpha=0.25,0.25,420,15.0,15.0,15.0,0.4505061670161433
7,W1,2025-02-24,2026-05-21,8,3,QWOA weighted Johnson cost alpha=0.5,0.5,420,15.0,15.0,15.0,0.3796893815937109
7,W1,2025-02-24,2026-05-21,8,3,QWOA weighted Johnson cost alpha=1.0,1.0,420,15.0,15.0,15.0,0.2696547824584301
7,W1,2025-02-24,2026-05-21,8,3,QWOA weighted Johnson cost alpha=2.0,2.0,420,15.0,15.0,15.0,0.1429788166093927
8,W1,2025-02-24,2026-05-21,8,4,QWOA complete / Grover-equivalent,,2415,69.0,69.0,69.0,1.0144927536231871
8,W1,2025-02-24,2026-05-21,8,4,QWOA Johnson,,560,16.0,16.0,16.0,0.49999999999999956
8,W1,2025-02-24,2026-05-21,8,4,QWOA weighted Johnson cost alpha=0.25,0.25,560,16.0,16.0,16.0,0.42720171296138076
8,W1,2025-02-24,2026-05-21,8,4,QWOA weighted Johnson cost alpha=0.5,0.5,560,16.0,16.0,16.0,0.3636967650756695
8,W1,2025-02-24,2026-05-21,8,4,QWOA weighted Johnson cost alpha=1.0,1.0,560,16.0,16.0,16.0,0.261245376360139
8,W1,2025-02-24,2026-05-21,8,4,QWOA weighted Johnson cost alpha=2.0,2.0,560,16.0,16.0,16.0,0.13133141993763475
9,W2,2023-11-21,2025-02-21,5,2,QWOA complete / Grover-equivalent,,45,9.0,9.0,9.0,1.111111111111111
9,W2,2023-11-21,2025-02-21,5,2,QWOA Johnson,,30,6.0,6.0,6.0,0.8333333333333328
9,W2,2023-11-21,2025-02-21,5,2,QWOA weighted Johnson cost alpha=0.25,0.25,30,6.0,6.0,6.0,0.6637737190653445
9,W2,2023-11-21,2025-02-21,5,2,QWOA weighted Johnson cost alpha=0.5,0.5,30,6.0,6.0,6.0,0.5149058584489548
9,W2,2023-11-21,2025-02-21,5,2,QWOA weighted Johnson cost alpha=1.0,1.0,30,6.0,6.0,6.0,0.2897094214461938
9,W2,2023-11-21,2025-02-21,5,2,QWOA weighted Johnson cost alpha=2.0,2.0,30,6.0,6.0,6.0,0.06647875700488648
10,W2,2023-11-21,2025-02-21,5,3,QWOA complete / Grover-equivalent,,45,9.0,9.0,9.0,1.111111111111111
10,W2,2023-11-21,2025-02-21,5,3,QWOA Johnson,,30,6.0,6.0,6.0,0.8333333333333331
10,W2,2023-11-21,2025-02-21,5,3,QWOA weighted Johnson cost alpha=0.25,0.25,30,6.0,6.0,6.0,0.6859004258633057
10,W2,2023-11-21,2025-02-21,5,3,QWOA weighted Johnson cost alpha=0.5,0.5,30,6.0,6.0,6.0,0.5692509496405997
10,W2,2023-11-21,2025-02-21,5,3,QWOA weighted Johnson cost alpha=1.0,1.0,30,6.0,6.0,6.0,0.445264265414691
10,W2,2023-11-21,2025-02-21,5,3,QWOA weighted Johnson cost alpha=2.0,2.0,30,6.0,6.0,6.0,0.45012128473736956
11,W2,2023-11-21,2025-02-21,6,2,QWOA complete / Grover-equivalent,,105,14.0,14.0,14.0,1.0714285714285712
11,W2,2023-11-21,2025-02-21,6,2,QWOA Johnson,,60,8.0,8.0,8.0,0.7499999999999998
11,W2,2023-11-21,2025-02-21,6,2,QWOA weighted Johnson cost alpha=0.25,0.25,60,8.0,8.0,8.0,0.67660325981642
11,W2,2023-11-21,2025-02-21,6,2,QWOA weighted Johnson cost alpha=0.5,0.5,60,8.0,8.0,8.0,0.5880164122401697
11,W2,2023-11-21,2025-02-21,6,2,QWOA weighted Johnson cost alpha=1.0,1.0,60,8.0,8.0,8.0,0.40157672379773446
11,W2,2023-11-21,2025-02-21,6,2,QWOA weighted Johnson cost alpha=2.0,2.0,60,8.0,8.0,8.0,0.22456324014005702
12,W2,2023-11-21,2025-02-21,6,3,QWOA complete / Grover-equivalent,,190,19.0,19.0,19.0,1.052631578947368
12,W2,2023-11-21,2025-02-21,6,3,QWOA Johnson,,90,9.0,9.0,9.0,0.6666666666666667
12,W2,2023-11-21,2025-02-21,6,3,QWOA weighted Johnson cost alpha=0.25,0.25,90,9.0,9.0,9.0,0.6131313539632094
12,W2,2023-11-21,2025-02-21,6,3,QWOA weighted Johnson cost alpha=0.5,0.5,90,9.0,9.0,9.0,0.5630772690135719
12,W2,2023-11-21,2025-02-21,6,3,QWOA weighted Johnson cost alpha=1.0,1.0,90,9.0,9.0,9.0,0.4790057952948814
12,W2,2023-11-21,2025-02-21,6,3,QWOA weighted Johnson cost alpha=2.0,2.0,90,9.0,9.0,9.0,0.3700916121053043
13,W2,2023-11-21,2025-02-21,6,4,QWOA complete / Grover-equivalent,,105,14.0,14.0,14.0,1.0714285714285712
13,W2,2023-11-21,2025-02-21,6,4,QWOA Johnson,,60,8.0,8.0,8.0,0.7499999999999998
13,W2,2023-11-21,2025-02-21,6,4,QWOA weighted Johnson cost alpha=0.25,0.25,60,8.0,8.0,8.0,0.6741451561105765
13,W2,2023-11-21,2025-02-21,6,4,QWOA weighted Johnson cost alpha=0.5,0.5,60,8.0,8.0,8.0,0.596511818967095
13,W2,2023-11-21,2025-02-21,6,4,QWOA weighted Johnson cost alpha=1.0,1.0,60,8.0,8.0,8.0,0.444212703466758
13,W2,2023-11-21,2025-02-21,6,4,QWOA weighted Johnson cost alpha=2.0,2.0,60,8.0,8.0,8.0,0.23474765458733626
14,W2,2023-11-21,2025-02-21,7,3,QWOA complete / Grover-equivalent,,595,34.0,34.0,34.0,1.029411764705882
14,W2,2023-11-21,2025-02-21,7,3,QWOA Johnson,,210,12.0,12.0,12.0,0.5833333333333335
14,W2,2023-11-21,2025-02-21,7,3,QWOA weighted Johnson cost alpha=0.25,0.25,210,12.0,12.0,12.0,0.5238356538421798
14,W2,2023-11-21,2025-02-21,7,3,QWOA weighted Johnson cost alpha=0.5,0.5,210,12.0,12.0,12.0,0.47056729373547734
14,W2,2023-11-21,2025-02-21,7,3,QWOA weighted Johnson cost alpha=1.0,1.0,210,12.0,12.0,12.0,0.3825347467534548
14,W2,2023-11-21,2025-02-21,7,3,QWOA weighted Johnson cost alpha=2.0,2.0,210,12.0,12.0,12.0,0.27537064141030065
15,W2,2023-11-21,2025-02-21,7,4,QWOA complete / Grover-equivalent,,595,34.0,34.0,34.0,1.029411764705882
15,W2,2023-11-21,2025-02-21,7,4,QWOA Johnson,,210,12.0,12.0,12.0,0.5833333333333335
15,W2,2023-11-21,2025-02-21,7,4,QWOA weighted Johnson cost alpha=0.25,0.25,210,12.0,12.0,12.0,0.5240724531518788
15,W2,2023-11-21,2025-02-21,7,4,QWOA weighted Johnson cost alpha=0.5,0.5,210,12.0,12.0,12.0,0.47167875243929314
15,W2,2023-11-21,2025-02-21,7,4,QWOA weighted Johnson cost alpha=1.0,1.0,210,12.0,12.0,12.0,0.38588206686202187
15,W2,2023-11-21,2025-02-21,7,4,QWOA weighted Johnson cost alpha=2.0,2.0,210,12.0,12.0,12.0,0.2791439577585605
16,W2,2023-11-21,2025-02-21,8,3,QWOA complete / Grover-equivalent,,1540,55.0,55.0,55.0,1.018181818181817
16,W2,2023-11-21,2025-02-21,8,3,QWOA Johnson,,420,15.0,15.0,15.0,0.5333333333333323
16,W2,2023-11-21,2025-02-21,8,3,QWOA weighted Johnson cost alpha=0.25,0.25,420,15.0,15.0,15.0,0.4819655888270349
16,W2,2023-11-21,2025-02-21,8,3,QWOA weighted Johnson cost alpha=0.5,0.5,420,15.0,15.0,15.0,0.43622349516735437
16,W2,2023-11-21,2025-02-21,8,3,QWOA weighted Johnson cost alpha=1.0,1.0,420,15.0,15.0,15.0,0.3601020500985179
16,W2,2023-11-21,2025-02-21,8,3,QWOA weighted Johnson cost alpha=2.0,2.0,420,15.0,15.0,15.0,0.2517627040687206
17,W2,2023-11-21,2025-02-21,8,4,QWOA complete / Grover-equivalent,,2415,69.0,69.0,69.0,1.0144927536231871
17,W2,2023-11-21,2025-02-21,8,4,QWOA Johnson,,560,16.0,16.0,16.0,0.49999999999999956
17,W2,2023-11-21,2025-02-21,8,4,QWOA weighted Johnson cost alpha=0.25,0.25,560,16.0,16.0,16.0,0.45294927887000347
17,W2,2023-11-21,2025-02-21,8,4,QWOA weighted Johnson cost alpha=0.5,0.5,560,16.0,16.0,16.0,0.41051690078922454
17,W2,2023-11-21,2025-02-21,8,4,QWOA weighted Johnson cost alpha=1.0,1.0,560,16.0,16.0,16.0,0.3379891036584214
17,W2,2023-11-21,2025-02-21,8,4,QWOA weighted Johnson cost alpha=2.0,2.0,560,16.0,16.0,16.0,0.23218202749254402
18,W3,2022-08-24,2023-11-20,5,2,QWOA complete / Grover-equivalent,,45,9.0,9.0,9.0,1.111111111111111
18,W3,2022-08-24,2023-11-20,5,2,QWOA Johnson,,30,6.0,6.0,6.0,0.8333333333333328
18,W3,2022-08-24,2023-11-20,5,2,QWOA weighted Johnson cost alpha=0.25,0.25,30,6.0,6.0,6.0,0.6884290030836451
18,W3,2022-08-24,2023-11-20,5,2,QWOA weighted Johnson cost alpha=0.5,0.5,30,6.0,6.0,6.0,0.5711317531665736
18,W3,2022-08-24,2023-11-20,5,2,QWOA weighted Johnson cost alpha=1.0,1.0,30,6.0,6.0,6.0,0.4356318298962867
18,W3,2022-08-24,2023-11-20,5,2,QWOA weighted Johnson cost alpha=2.0,2.0,30,6.0,6.0,6.0,0.40701116310688323
19,W3,2022-08-24,2023-11-20,5,3,QWOA complete / Grover-equivalent,,45,9.0,9.0,9.0,1.111111111111111
19,W3,2022-08-24,2023-11-20,5,3,QWOA Johnson,,30,6.0,6.0,6.0,0.8333333333333331
19,W3,2022-08-24,2023-11-20,5,3,QWOA weighted Johnson cost alpha=0.25,0.25,30,6.0,6.0,6.0,0.6773737622960715
19,W3,2022-08-24,2023-11-20,5,3,QWOA weighted Johnson cost alpha=0.5,0.5,30,6.0,6.0,6.0,0.5524916489000237
19,W3,2022-08-24,2023-11-20,5,3,QWOA weighted Johnson cost alpha=1.0,1.0,30,6.0,6.0,6.0,0.4115580036368508
19,W3,2022-08-24,2023-11-20,5,3,QWOA weighted Johnson cost alpha=2.0,2.0,30,6.0,6.0,6.0,0.3781038495513701
20,W3,2022-08-24,2023-11-20,6,2,QWOA complete / Grover-equivalent,,105,14.0,14.0,14.0,1.0714285714285712
20,W3,2022-08-24,2023-11-20,6,2,QWOA Johnson,,60,8.0,8.0,8.0,0.7499999999999998
20,W3,2022-08-24,2023-11-20,6,2,QWOA weighted Johnson cost alpha=0.25,0.25,60,8.0,8.0,8.0,0.6546457488548696
20,W3,2022-08-24,2023-11-20,6,2,QWOA weighted Johnson cost alpha=0.5,0.5,60,8.0,8.0,8.0,0.5666471639926147
20,W3,2022-08-24,2023-11-20,6,2,QWOA weighted Johnson cost alpha=1.0,1.0,60,8.0,8.0,8.0,0.4146709039536266
