instance,window_id,start,end,n,k,method,alpha,graph_edges,graph_mean_degree,graph_min_degree,graph_max_degree,graph_spectral_gap_top
34,W4,2021-05-27,2022-08-23,8,3,QWOA weighted Johnson cost alpha=0.25,0.25,420,15.0,15.0,15.0,0.4553340583949408
34,W4,2021-05-27,2022-08-23,8,3,QWOA weighted Johnson cost alpha=0.5,0.5,420,15.0,15.0,15.0,0.3923948475590814
34,W4,2021-05-27,2022-08-23,8,3,QWOA weighted Johnson cost alpha=1.0,1.0,420,15.0,15.0,15.0,0.3076535634616542
34,W4,2021-05-27,2022-08-23,8,3,QWOA weighted Johnson cost alpha=2.0,2.0,420,15.0,15.0,15.0,0.2498192192529266
35,W4,2021-05-27,2022-08-23,8,4,QWOA complete / Grover-equivalent,,2415,69.0,69.0,69.0,1.0144927536231871
35,W4,2021-05-27,2022-08-23,8,4,QWOA Johnson,,560,16.0,16.0,16.0,0.49999999999999956
35,W4,2021-05-27,2022-08-23,8,4,QWOA weighted Johnson cost alpha=0.25,0.25,560,16.0,16.0,16.0,0.4269013035120367
35,W4,2021-05-27,2022-08-23,8,4,QWOA weighted Johnson cost alpha=0.5,0.5,560,16.0,16.0,16.0,0.36455874677961386
35,W4,2021-05-27,2022-08-23,8,4,QWOA weighted Johnson cost alpha=1.0,1.0,560,16.0,16.0,16.0,0.2680607168190605
35,W4,2021-05-27,2022-08-23,8,4,QWOA weighted Johnson cost alpha=2.0,2.0,560,16.0,16.0,16.0,0.16591269210345305
